Name,BaseURL,Keyword
HP Tenders,https://hptenders.gov.in/nicgep/app,HP Tenders
iocletenders,https://iocletenders.nic.in/nicgep/app,iocletenders
etenders,https://etenders.gov.in/eprocure/app,etenders
arunachaltenders,https://arunachaltenders.gov.in/nicgep/app,arunachaltenders
assamtenders,https://assamtenders.gov.in/nicgep/app,assamtenders
Goa,https://eprocure.goa.gov.in/nicgep/app,Goa
Haryana,https://etenders.hry.nic.in/nicgep/app,Haryana
Jammu Kashmir,https://jktenders.gov.in/nicgep/app,Jammu Kashmir
jharkhandtenders,https://jharkhandtenders.gov.in/nicgep/app,jharkhandtenders
Kerela,https://etenders.kerala.gov.in/nicgep/app,Kerela
MP Tenders,https://mptenders.gov.in/nicgep/app,MP Tenders
Maharashtra,https://mahatenders.gov.in/nicgep/app,Maharashtra
