2025-09-27 11:48:01 - root - INFO - Logging to file: G:\My Drive\0dev\Search Utility v3\tender_management_v3\logs\app_20250927_114801.log
2025-09-27 11:48:01 - root - INFO - Application starting...
2025-09-27 11:48:01 - ui.main_window.MainApplication - INFO - Initializing MainApplication...
2025-09-27 11:48:01 - core.config_manager - INFO - Configuration loaded from G:\My Drive\0dev\Search Utility v3\tender_management_v3\config\config.json
2025-09-27 11:48:01 - ui.main_window.MainApplication - INFO - Global configuration loaded successfully
2025-09-27 11:48:01 - ui.main_window.MainApplication - INFO - Window geometry set to 1200x800+168+32
2025-09-27 11:48:02 - ui.search_dashboard_tab.SearchDashboardTab - INFO - Applying status filter: live
2025-09-27 11:48:02 - ui.calendar_tab.CalendarTab - INFO - CalendarTab initialized
2025-09-27 11:48:02 - ui.calendar_tab.CalendarTab - INFO - Loaded 12 calendar events from G:\My Drive\0dev\Search Utility v3\tender_management_v3\data\calendar_events.json
2025-09-27 11:48:02 - ui.tender_tasks_tab.TenderTasksTab - INFO - TenderTasksTab initialized (placeholder)
2025-09-27 11:48:02 - ui.settings_tab.SettingsTab - INFO - SettingsTab initialized
2025-09-27 11:48:02 - ui.logs_tab.LogsTab - INFO - Log handler attached to root logger
2025-09-27 11:48:02 - ui.main_window.MainApplication - INFO - All tabs initialized successfully
2025-09-27 11:48:02 - ui.main_window - INFO - Main application initialized
2025-09-27 11:48:02 - root - INFO - Main window initialized
2025-09-27 11:48:09 - ui.search_dashboard_tab.SearchDashboardTab - INFO - Loaded search configuration: una pwd 2
2025-09-27 11:48:15 - ui.search_dashboard_tab.SearchDashboardTab - INFO - Loaded search configuration: una pwd 2
2025-09-27 11:48:50 - ui.search_dashboard_tab.SearchDashboardTab - INFO - Detected URL columns: ['Direct URL', 'Status URL']
2025-09-27 11:48:50 - ui.search_dashboard_tab.SearchDashboardTab - INFO - Applying status filter: live
2025-09-27 11:48:50 - ui.search_dashboard_tab.SearchDashboardTab - INFO - Live tenders filter: 1417 records closing after 2025-09-27 11:48:50.477135
2025-09-27 11:48:50 - ui.search_dashboard_tab.SearchDashboardTab - INFO - Department filter applied: 775 records match 'pwd' with OR logic
2025-09-27 11:48:50 - ui.search_dashboard_tab.SearchDashboardTab - INFO - Global search applied: 13 records match 'una' with AND logic
2025-09-27 11:48:50 - ui.search_dashboard_tab.SearchDashboardTab - INFO - Detected URL columns: ['Direct URL', 'Status URL']
2025-09-27 11:48:57 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:48:59 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:49:01 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:49:04 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:49:06 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:49:08 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:49:10 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:49:12 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:49:14 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:49:16 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:49:18 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:49:20 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:49:22 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:49:24 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:49:26 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:49:28 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:49:30 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:49:33 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:49:35 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:49:37 - ui.charts_window - INFO - Charts data refreshed from Tree view
