2025-09-28 09:25:27 - root - INFO - Logging to file: G:\My Drive\0dev\Search Utility v3\tender_management_v3\logs\app_20250928_092527.log
2025-09-28 09:25:27 - root - INFO - Application starting...
2025-09-28 09:25:27 - ui.main_window.MainApplication - INFO - Initializing MainApplication...
2025-09-28 09:25:27 - core.config_manager - INFO - Configuration loaded from G:\My Drive\0dev\Search Utility v3\tender_management_v3\config\config.json
2025-09-28 09:25:27 - ui.main_window.MainApplication - INFO - Global configuration loaded successfully
2025-09-28 09:25:27 - ui.main_window.MainApplication - INFO - Window geometry set to 1200x800+168+32
2025-09-28 09:25:28 - ui.search_dashboard_tab.SearchDashboardTab - INFO - Applying status filter: live
2025-09-28 09:25:29 - ui.calendar_tab.CalendarTab - INFO - CalendarTab initialized
2025-09-28 09:25:29 - ui.calendar_tab.CalendarTab - INFO - Loaded 12 calendar events from G:\My Drive\0dev\Search Utility v3\tender_management_v3\data\calendar_events.json
2025-09-28 09:25:29 - ui.tender_tasks_tab.TenderTasksTab - INFO - TenderTasksTab initialized (placeholder)
2025-09-28 09:25:29 - ui.settings_tab.SettingsTab - INFO - Default column settings initialized
2025-09-28 09:25:29 - ui.settings_tab.SettingsTab - INFO - Loaded column settings for 18 columns
2025-09-28 09:25:29 - ui.settings_tab.SettingsTab - INFO - SettingsTab initialized
2025-09-28 09:25:29 - ui.logs_tab.LogsTab - INFO - Log handler attached to root logger
2025-09-28 09:25:29 - ui.main_window.MainApplication - INFO - All tabs initialized successfully
2025-09-28 09:25:29 - ui.main_window - INFO - Main application initialized
2025-09-28 09:25:29 - root - INFO - Main window initialized
2025-09-28 09:25:29 - ui.search_dashboard_tab.SearchDashboardTab - INFO - Loading last used data source: export_test_data.xlsx
2025-09-28 09:27:36 - ui.search_dashboard_tab.SearchDashboardTab - INFO - Detected URL columns: []
2025-09-28 09:27:36 - ui.search_dashboard_tab.SearchDashboardTab - INFO - Applied column settings to treeview: 7 columns
2025-09-28 09:27:36 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:36 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:36 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:36 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:36 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:36 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:36 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:36 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:36 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:36 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:36 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:36 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:36 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:36 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:36 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:36 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:36 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:36 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
